image_url,issue,content_type,size_bytes,img_inlinks,dimensions,source_pages,recommended_fix
https://img.shoplineapp.com/media/image_clips/63b3ff0854169f001a87a41d/original.jpg?1672740615,Image over 100 KB,image/jpeg,451081,1,,https://shopline.tw/news/shopline-select-pop-up-store-part3,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/66950a8b9d9a8a0010499b40/original.png?1721043594,Image over 100 KB,image/png,106594,1,,https://shopline.tw/about/press,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/67511a32620c88000a4d14dc/original.png?1733368369,Image over 100 KB,image/png,755636,1,,https://shopline.tw/cooperate,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/674533da90f55c1ab1064508/original.png?1732588506,Image over 100 KB,image/png,408051,5,,https://shopline.tw/showcase/food-beverage-brand | https://shopline.tw/showcase/beauty-health-brand | https://shopline.tw/showcase/electronics-brand,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6749953f538357000b924075/original.png?1732875583,Image over 100 KB,image/png,206815,1,,https://shopline.tw/online-store/shop-builder,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6746f494fb75a4000a537e11/original.png?1732703380,Image over 100 KB,image/png,115868,1,,https://shopline.tw/showcase/food-beverage-brand,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/67c6ca7b5a0480000d4fc728/original.png?1741081211,Image over 100 KB,image/png,631156,1,,https://shopline.tw/online-store/outdoor-ecommerce,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/63b406241e9f950011cd295c/original.jpg?1672742436,Image over 100 KB,image/jpeg,363826,1,,https://shopline.tw/news/shopline-select-pop-up-store-part2,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/669502799d9a8a001c499872/original.png?1721041528,Image over 100 KB,image/png,495315,1,,https://shopline.tw/about/press,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/685a7d84157de8000f1a3278/original.png?1750760836,Image over 100 KB,image/png,113851,1,,https://shopline.tw/about/press,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/67481a811378b3000f8279bf/original.png?17327786255,Image over 100 KB,image/png,123954,1,,https://shopline.tw/social-commerce/features,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/685b991d2157a5000c414d57/original.jpg?1750833437,Image over 100 KB,image/jpeg,219500,1,,https://shopline.tw/news/shopline-2025-omo-retail-integration-expert,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/683ffcfeb359fe000d52fb5b/original.png?1749023997,Image over 100 KB,image/png,110678,1,,https://shopline.tw/solutions/omo,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6776058db2af600bdc7d541e/original.png?1735787917,Image over 100 KB,image/png,297942,1,,https://shopline.tw/about/press,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6695dd98531966001f66ad80/original.JPG?1721097624,Image over 100 KB,image/jpeg,134718,1,,https://shopline.tw/news/shopline-youtube-shopping,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6805ea53d8067a00118f90db/original.png?1745218131,Image over 100 KB,image/png,381919,1,,https://shopline.tw/features/landing-page,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/69d874c2dc45a08394fc5c8e/original.png?1775793345=&owner_id=5d5a57ccf7124400016c8c54,Image over 100 KB,image/png,1680718,1,,https://shopline.tw/showcase/fashion-brand,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6695d9986dcaf5001c83de2c/original.png?1721096599,Image over 100 KB,image/png,450528,1,,https://shopline.tw/news/shopline-2023-double11-first-week,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/68a3dfc859c383000c6fbe7f/original.png?1755570119,Image over 100 KB,image/png,127692,1,,https://shopline.tw/showcase/beauty-health-brand,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/691407ffa45791000c3335d0/original.png?1762920446=&owner_id=5d5a57ccf7124400016c8c54,Image over 100 KB,image/png,109822,1,,https://shopline.tw/shoplytics,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/699eab47f185a13e6c10ad8b/original.png?1772006215=&owner_id=5d5a57ccf7124400016c8c54,Image over 100 KB,image/png,749658,2,,https://shopline.tw/showcase | https://shopline.tw/showcase/pets,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6746e512511c5942558dc61b/original.png?1732699410,Image over 100 KB,image/png,108722,1,,https://shopline.tw/showcase/sport-outdoor-brand,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/685a7c2cf99401000d6a7f45/original.png?1750760492,Image over 100 KB,image/png,270814,1,,https://shopline.tw/about/press,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/685a7a6c4bf21c000fb384d7/original.png?1750760044,Image over 100 KB,image/png,413911,1,,https://shopline.tw/about/press,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/685a7d0055b5c91199b04177/original.png?1750760703,Image over 100 KB,image/png,385933,1,,https://shopline.tw/about/press,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/68a3dfc84b49360016114e37/original.png?1755570119,Image over 100 KB,image/png,223589,1,,https://shopline.tw/showcase/sport-outdoor-brand,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/699eab47e3e15223abaa8de1/original.png?1772006215=&owner_id=5d5a57ccf7124400016c8c54,Image over 100 KB,image/png,413376,1,,https://shopline.tw/showcase,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/6746ea50abbabf000caf372f/original.png?1732700751,Image over 100 KB,image/png,104219,1,,https://shopline.tw/showcase/beauty-health-brand,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/637ee0ab9b494700252d3f94/original.png?1669259434,Image over 100 KB,image/png,177378,1,,https://shopline.tw/about/press,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/63b3efec9c59930013ea3106/original.jpg?1672736748,Image over 100 KB,image/jpeg,190473,1,,https://shopline.tw/news/shopline-gogolook-anti-fraud,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/67b2b04b2cb158000d4b63c4/original.png?1739763786,Image over 100 KB,image/png,208335,1,,https://shopline.tw/online-store/pets,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
https://img.shoplineapp.com/media/image_clips/68f8753d37e8c300182bc547/original.png?1761113405=&owner_id=5d5a57ccf7124400016c8c54,Image over 100 KB,image/png,183848,1,,https://shopline.tw/showcase/health-and-supplements,壓縮或轉 WebP/AVIF，優先處理 inlinks 高與首屏圖片。
