address,issue,content_type,status_code,status,indexability,canonical,recommended_fix
https://shopline.tw/pos,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/pos,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/news/shopline-app-store,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/news/shopline-app-store,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/ai,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/ai,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/news/shopline-2024-double11,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/news/shopline-2024-double11,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/pos/hardware,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/pos/hardware,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/showcase/beauty-health-brand,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/showcase/beauty-health-brand,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/faq/features,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/faq/features,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/news/shopline-youtube-shopping,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/news/shopline-youtube-shopping,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/social-commerce,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/social-commerce,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/showcase/fashion-brand,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/showcase/fashion-brand,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/online-store/features,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/online-store/features,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/news/shopline-zingala-bnp,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/news/shopline-zingala-bnp,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/features/order-management,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/features/order-management,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/logistics,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/logistics,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/showcase/health-and-supplements,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/showcase/health-and-supplements,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/group-buying,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/group-buying,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/showcase/lifestyle-brand,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/showcase/lifestyle-brand,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/faq/community,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/faq/community,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/selectedpartners,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/selectedpartners,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/solutions/data-analysis,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/solutions/data-analysis,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/news/shopline-brands-award-list,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/news/shopline-brands-award-list,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
https://shopline.tw/about/pricing/module,Missing HSTS header,text/html; charset=utf-8,200,OK,Indexable,https://shopline.tw/about/pricing/module,於 CDN/edge 或 origin 加入 Strict-Transport-Security，先確認所有子網域 HTTPS readiness。
