"Site Crawled","https://blog.shopline.tw/"
"Start Date","2026-09-06"
"Start Time","20:27:03"
"Last Modified Date","2026-09-06"
"Last Modified Time","21:17:53"
"Elapsed","00:50:49"
"Report Date","2026-09-07"
"Report Time","11:57:23"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Over 60 Characters","105","4.20%","2500","Internal HTML pages with 2xx response"
"Below 30 Characters","270","10.80%","2500","Internal HTML pages with 2xx response"
"Over 561 Pixels","1359","54.36%","2500","Internal HTML pages with 2xx response"
"Below 200 Pixels","0","0.00%","2500","Internal HTML pages with 2xx response"
"Same as H1","374","14.96%","2500","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","2500","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","2500","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","2500","100.00%","2500","Internal HTML pages with 2xx response"
"Missing","0","0.00%","2500","Internal HTML pages with 2xx response"
"Duplicate","75","3.00%","2500","Internal HTML pages with 2xx response"
"Over 155 Characters","421","16.84%","2500","Internal HTML pages with 2xx response"
"Below 70 Characters","85","3.40%","2500","Internal HTML pages with 2xx response"
"Over 985 Pixels","1940","77.60%","2500","Internal HTML pages with 2xx response"
"Below 400 Pixels","82","3.28%","2500","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","2500","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","2500","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","2500","100.00%","2500","Internal HTML pages with 2xx response"
"Missing","2029","81.16%","2500","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","2500","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","2500","Internal HTML pages with 2xx response"
""
"H1"
"All","2500","100.00%","2500","Internal HTML pages with 2xx response"
"Missing","889","35.56%","2500","Internal HTML pages with 2xx response"
"Duplicate","2","0.08%","2500","Internal HTML pages with 2xx response"
"Over 70 Characters","12","0.48%","2500","Internal HTML pages with 2xx response"
"Multiple","4","0.16%","2500","Internal HTML pages with 2xx response"
"Alt Text in H1","0","0.00%","2500","Internal HTML pages with 2xx response"
"Non-Sequential","0","0.00%","2500","Internal HTML pages with 2xx response"
""
"H2"
"All","2500","100.00%","2500","Internal HTML pages with 2xx response"
"Missing","0","0.00%","2500","Internal HTML pages with 2xx response"
"Duplicate","307","12.28%","2500","Internal HTML pages with 2xx response"
"Over 70 Characters","1","0.04%","2500","Internal HTML pages with 2xx response"
"Multiple","2029","81.16%","2500","Internal HTML pages with 2xx response"
"Non-Sequential","51","2.04%","2500","Internal HTML pages with 2xx response"
""
"Content"
"All","2500","100.00%","2500","Internal HTML pages with 2xx response"
"Exact Duplicates","0","0.00%","2500","Internal HTML pages with 2xx response"
"Near Duplicates","0","0.00%","2500","Internal HTML pages with 2xx response"
"Semantically Similar","0","0.00%","2500","Internal HTML pages with 2xx response"
"Low Relevance Content","0","0.00%","2500","Internal HTML pages with 2xx response"
"Low Content Pages","0","0.00%","2500","Internal HTML pages with 2xx response"
"Soft 404 Pages","0","0.00%","2500","Internal HTML pages with 2xx response"
"Spelling Errors","0","0.00%","2500","Internal HTML pages with 2xx response"
"Grammar Errors","0","0.00%","2500","Internal HTML pages with 2xx response"
"Readability Difficult","0","0.00%","2500","Internal HTML pages with 2xx response"
"Readability Very Difficult","0","0.00%","2500","Internal HTML pages with 2xx response"
"Lorem Ipsum Placeholder","0","0.00%","2500","Internal HTML pages with 2xx response"
""
"Images"
"All","8494","100.00%","8494","Images with 2xx response"
"Over 100 kB","4373","51.48%","8494","Images with 2xx response"
"Missing Alt Text","1090","12.83%","8494","Images with 2xx response"
"Missing Alt Attribute","27","0.32%","8494","Images with 2xx response"
"Alt Text Over 100 Characters","14","0.16%","8494","Images with 2xx response"
"Background Images","0","0.00%","8494","Images with 2xx response"
"Incorrectly Sized Images","0","0.00%","8494","Images with 2xx response"
"Missing Size Attributes","203","2.39%","8494","Images with 2xx response"
""
"Canonicals"
"All","2500","100.00%","2500","Internal HTML or PDF pages with 2xx response"
