"Site Crawled","https://blog.shopline.tw/"
"Start Date","2026-09-06"
"Start Time","20:27:03"
"Last Modified Date","2026-09-06"
"Last Modified Time","21:17:53"
"Elapsed","00:50:49"
"Report Date","2026-09-07"
"Report Time","11:57:23"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Input Buttons Require Discernible Text","0","0.00%","2500",""
"Inline Text Spacing Must Be Adjustable","0","0.00%","2500",""
"Links Must Be Distinguishable","0","0.00%","2500",""
"Links Require Discernible Text","0","0.00%","2500",""
"Links With Same Accessible Name","0","0.00%","2500",""
"Select Element Requires Accessible Name","0","0.00%","2500",""
"Summary Elements Require Discernible Text","0","0.00%","2500",""
"Deprecated <marquee> Element Must Not Be Used","0","0.00%","2500",""
"<blink> Elements Deprecated & Must Not Be Used","0","0.00%","2500",""
"Text Requires Higher Color Contrast Ratio","0","0.00%","2500",""
"Text Requires Higher Color Contrast to Background","0","0.00%","2500",""
"Touch Targets Require Sufficient Size & Spacing","0","0.00%","2500",""
"Interactive Controls Must Not Be Nested","0","0.00%","2500",""
"List Items Must Be Contained In List Elements","0","0.00%","2500",""
"Lists Must Only Contain <li> Content Elements","0","0.00%","2500",""
"<dl> Must Only Have Ordered <dt> & <dd> Groups","0","0.00%","2500",""
"<dt> & <dd> Elements Must Be Contained by <dl>","0","0.00%","2500",""
"<th> Element Requires Associated Data Cells","0","0.00%","2500",""
"Table Header Attr Must Refer To Cell In Same Table","0","0.00%","2500",""
"Table Headers Require Discernible Text","0","0.00%","2500",""
"Table With Identical Summary & Caption Text","0","0.00%","2500",""
"Scope Attribute Should Be Used Correctly On Tables","0","0.00%","2500",""
""
"Custom Search"
"All","2500","100.00%","2500","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","2500","100.00%","2500","Internal HTML pages with 2xx response"
""
"Custom JavaScript"
"All","11429","100.00%","11429","Internal HTML pages with 2xx response"
""
"Analytics"
"All","3803","100.00%","3803","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","3803","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","3803","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","3803","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","3803","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","3803","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","3803","100.00%","3803","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","3803","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","3803","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","3803","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","3803","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","3803","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","3803","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","3803","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","3803","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","3803","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","3803","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","3803","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","12736","100.00%","12736","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","12736","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","12736","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","12736","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","12736","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","12736","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","12736","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","12736","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0.00%","12736","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","12736","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","12736","Internal URLs with 2xx response"
""
"Link Metrics"
"All","3801","100.00%","3801","Internal HTML/PDF pages"
""
"AI"
"All","11429","100.00%","11429","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","0.04%","2500","Internal HTML pages with 2xx response"
"1","96","3.84%","2500","Internal HTML pages with 2xx response"
"2","557","22.28%","2500","Internal HTML pages with 2xx response"
"3","754","30.16%","2500","Internal HTML pages with 2xx response"
"4","501","20.04%","2500","Internal HTML pages with 2xx response"
"5","152","6.08%","2500","Internal HTML pages with 2xx response"
"6","79","3.16%","2500","Internal HTML pages with 2xx response"
"7","70","2.80%","2500","Internal HTML pages with 2xx response"
"8","54","2.16%","2500","Internal HTML pages with 2xx response"
"9","35","1.40%","2500","Internal HTML pages with 2xx response"
"10+","201","8.04%","2500","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://blog.shopline.tw/category/marketing-online/marketing-trend/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/store-knowledge/store-cross-border-ec/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/marketing-online/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/showcase-interview/showcase-entrepreneurship/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/shopline-feature-release/ec-feature/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/dg-ads/dg-ads-criteo-ads/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/store-knowledge/store-preparing/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/shopline-feature-instruction/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/shopline-feature-release/pos-feature/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/showcase-interview/showcase-merchant/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/store-knowledge/store-marketing/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/shopline-guidelines-for-sharing-and-republishing-content/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/dg-ads/ads-successful-showcase/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/consulting-project/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/project/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/ebook-page/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/showcase-interview/showcase-partner/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/shopline-feature-release/cb-feature/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/shopline-dashboard/shopline-podcast/","2500","100.00%","2500","Internal HTML pages with 2xx response"
"https://blog.shopline.tw/category/shopline-dashboard/shopline-news/","2500","100.00%","2500","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","11065","86.93%"
"2","1296","10.18%"
"3","201","1.58%"
"4","80","0.63%"
"5","32","0.25%"
"6","22","0.17%"
"7","13","0.10%"
"8","7","0.05%"
"9","4","0.03%"
"10","3","0.02%"
"11","5","0.04%"
