"Site Crawled","https://shopline.tw/"
"Start Date","2026-09-06"
"Start Time","20:21:35"
"Last Modified Date","2026-09-06"
"Last Modified Time","20:24:42"
"Elapsed","00:03:07"
"Report Date","2026-09-07"
"Report Time","11:56:13"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Form on HTTP URL","0","0.00%","102","All internal and non-HTML external URLs"
"Unsafe Cross-Origin Links","97","95.10%","102","All internal and non-HTML external URLs"
"Protocol-Relative Resource Links","0","0.00%","102","All internal and non-HTML external URLs"
"Missing HSTS Header","97","95.10%","102","All internal and non-HTML external URLs"
"Missing Content-Security-Policy Header","0","0.00%","102","All internal and non-HTML external URLs"
"Missing X-Content-Type-Options Header","0","0.00%","102","All internal and non-HTML external URLs"
"Missing X-Frame-Options Header","0","0.00%","102","All internal and non-HTML external URLs"
"Missing Secure Referrer-Policy Header","97","95.10%","102","All internal and non-HTML external URLs"
"Bad Content Type","0","0.00%","102","All internal and non-HTML external URLs"
""
"Response Codes"
"All","749","100.00%","749","All Internal & External Crawled URLs"
"Blocked by Robots.txt","8","1.07%","749","All Internal & External Crawled URLs"
"Blocked Resource","0","0.00%","749","All Internal & External Crawled URLs"
"No Response","3","0.40%","749","All Internal & External Crawled URLs"
"Success (2xx)","628","83.85%","749","All Internal & External Crawled URLs"
"Redirection (3xx)","28","3.74%","749","All Internal & External Crawled URLs"
"Redirection (JavaScript)","0","0.00%","749","All Internal & External Crawled URLs"
"Redirection (Meta Refresh)","0","0.00%","749","All Internal & External Crawled URLs"
"Redirection (HTTP Refresh)","0","0.00%","749","All Internal & External Crawled URLs"
"Client Error (4xx)","82","10.95%","749","All Internal & External Crawled URLs"
"Server Error (5xx)","0","0.00%","749","All Internal & External Crawled URLs"
"Internal All","102","13.62%","749","All Internal Crawled URLs"
"Internal Blocked by Robots.txt","3","0.40%","749","All Internal Crawled URLs"
"Internal Blocked Resource","0","0.00%","749","All Internal Crawled URLs"
"Internal No Response","0","0.00%","749","All Internal Crawled URLs"
"Internal Success (2xx)","97","12.95%","749","All Internal Crawled URLs"
"Internal Redirection (3xx)","2","0.27%","749","All Internal Crawled URLs"
"Internal Redirection (JavaScript)","0","0.00%","749","All Internal Crawled URLs"
"Internal Redirection (Meta Refresh)","0","0.00%","749","All Internal Crawled URLs"
"Internal Redirection (HTTP Refresh)","0","0.00%","749","All Internal Crawled URLs"
"Internal Redirect Chain","0","0.00%","749","All Internal Crawled URLs"
"Internal Redirect Loop","0","0.00%","749","All Internal Crawled URLs"
"Internal Client Error (4xx)","0","0.00%","749","All Internal Crawled URLs"
"Internal Server Error (5xx)","0","0.00%","749","All Internal Crawled URLs"
"External All","647","86.38%","749","All External Crawled URLs"
"External Blocked by Robots.txt","5","0.67%","749","All External Crawled URLs"
"External Blocked Resource","0","0.00%","749","All External Crawled URLs"
"External No Response","3","0.40%","749","All External Crawled URLs"
"External Success (2xx)","531","70.89%","749","All External Crawled URLs"
"External Redirection (3xx)","26","3.47%","749","All External Crawled URLs"
"External Redirection (JavaScript)","0","0.00%","749","All External Crawled URLs"
"External Redirection (Meta Refresh)","0","0.00%","749","All External Crawled URLs"
"External Redirection (HTTP Refresh)","0","0.00%","749","All External Crawled URLs"
"External Client Error (4xx)","82","10.95%","749","All External Crawled URLs"
"External Server Error (5xx)","0","0.00%","749","All External Crawled URLs"
""
"URL"
"All","102","100.00%","102","Internal URLs"
"Non ASCII Characters","0","0.00%","102","Internal URLs"
"Underscores","0","0.00%","102","Internal URLs"
"Uppercase","0","0.00%","102","Internal URLs"
"Multiple Slashes","0","0.00%","102","Internal URLs"
"Repetitive Path","0","0.00%","102","Internal URLs"
"Contains Space","0","0.00%","102","Internal URLs"
"Internal Search","0","0.00%","102","Internal URLs"
"Parameters","0","0.00%","102","Internal URLs"
"Broken Bookmark","0","0.00%","102","Internal URLs"
"GA Tracking Parameters","0","0.00%","102","Internal URLs"
"Over 115 Characters","0","0.00%","102","Internal URLs"
""
"Page Titles"
"All","97","100.00%","97","Internal HTML pages with 2xx response"
"Missing","0","0.00%","97","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","97","Internal HTML pages with 2xx response"
"Over 60 Characters","7","7.22%","97","Internal HTML pages with 2xx response"
"Below 30 Characters","38","39.18%","97","Internal HTML pages with 2xx response"
"Over 561 Pixels","43","44.33%","97","Internal HTML pages with 2xx response"
"Below 200 Pixels","1","1.03%","97","Internal HTML pages with 2xx response"
"Same as H1","2","2.06%","97","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","97","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","97","Internal HTML pages with 2xx response"
""
"Meta Description"
"All","97","100.00%","97","Internal HTML pages with 2xx response"
"Missing","0","0.00%","97","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","97","Internal HTML pages with 2xx response"
"Over 155 Characters","2","2.06%","97","Internal HTML pages with 2xx response"
"Below 70 Characters","22","22.68%","97","Internal HTML pages with 2xx response"
"Over 985 Pixels","56","57.73%","97","Internal HTML pages with 2xx response"
"Below 400 Pixels","1","1.03%","97","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","97","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","97","Internal HTML pages with 2xx response"
""
"Meta Keywords"
"All","97","100.00%","97","Internal HTML pages with 2xx response"
"Missing","97","100.00%","97","Internal HTML pages with 2xx response"
"Duplicate","0","0.00%","97","Internal HTML pages with 2xx response"
"Multiple","0","0.00%","97","Internal HTML pages with 2xx response"
""
"H1"
"All","97","100.00%","97","Internal HTML pages with 2xx response"
"Missing","0","0.00%","97","Internal HTML pages with 2xx response"
"Duplicate","12","12.37%","97","Internal HTML pages with 2xx response"
"Over 70 Characters","9","9.28%","97","Internal HTML pages with 2xx response"
"Multiple","9","9.28%","97","Internal HTML pages with 2xx response"
"Alt Text in H1","1","1.03%","97","Internal HTML pages with 2xx response"
"Non-Sequential","97","100.00%","97","Internal HTML pages with 2xx response"
""
"H2"
"All","97","100.00%","97","Internal HTML pages with 2xx response"
"Missing","0","0.00%","97","Internal HTML pages with 2xx response"
"Duplicate","48","49.48%","97","Internal HTML pages with 2xx response"
"Over 70 Characters","1","1.03%","97","Internal HTML pages with 2xx response"
"Multiple","91","93.81%","97","Internal HTML pages with 2xx response"
"Non-Sequential","34","35.05%","97","Internal HTML pages with 2xx response"
""
"Content"
"All","97","100.00%","97","Internal HTML pages with 2xx response"
"Exact Duplicates","0","0.00%","97","Internal HTML pages with 2xx response"
"Near Duplicates","0","0.00%","97","Internal HTML pages with 2xx response"
"Semantically Similar","0","0.00%","97","Internal HTML pages with 2xx response"
"Low Relevance Content","0","0.00%","97","Internal HTML pages with 2xx response"
"Low Content Pages","1","1.03%","97","Internal HTML pages with 2xx response"
"Soft 404 Pages","0","0.00%","97","Internal HTML pages with 2xx response"
"Spelling Errors","0","0.00%","97","Internal HTML pages with 2xx response"
"Grammar Errors","0","0.00%","97","Internal HTML pages with 2xx response"
"Readability Difficult","0","0.00%","97","Internal HTML pages with 2xx response"
"Readability Very Difficult","0","0.00%","97","Internal HTML pages with 2xx response"
"Lorem Ipsum Placeholder","0","0.00%","97","Internal HTML pages with 2xx response"
""
"Images"
"All","232","100.00%","232","Images with 2xx response"
"Over 100 kB","147","63.36%","232","Images with 2xx response"
"Missing Alt Text","0","0.00%","232","Images with 2xx response"
"Missing Alt Attribute","0","0.00%","232","Images with 2xx response"
"Alt Text Over 100 Characters","0","0.00%","232","Images with 2xx response"
"Background Images","0","0.00%","232","Images with 2xx response"
"Incorrectly Sized Images","0","0.00%","232","Images with 2xx response"
"Missing Size Attributes","8","3.45%","232","Images with 2xx response"
""
"Canonicals"
"All","97","100.00%","97","Internal HTML or PDF pages with 2xx response"
"Contains Canonical","97","100.00%","97","Internal HTML or PDF pages with 2xx response"
"Self Referencing","97","100.00%","97","Internal HTML or PDF pages with 2xx response"
"Canonicalised","0","0.00%","97","Internal HTML or PDF pages with 2xx response"
"Missing","0","0.00%","97","Internal HTML or PDF pages with 2xx response"
"Multiple","0","0.00%","97","Internal HTML or PDF pages with 2xx response"
"Multiple Conflicting","0","0.00%","97","Internal HTML or PDF pages with 2xx response"
"Non-Indexable Canonical","0","0.00%","97","Internal HTML or PDF pages with 2xx response"
"Canonical Is Relative","0","0.00%","97","Internal HTML or PDF pages with 2xx response"
"Unlinked","0","0.00%","97","Internal HTML or PDF pages with 2xx response"
"Invalid Attribute In Annotation","0","0.00%","97","Internal HTML or PDF pages with 2xx response"
"Contains Fragment URL","0","0.00%","97","Internal HTML or PDF pages with 2xx response"
"Outside <head>","0","0.00%","97","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","97","100.00%","97","Internal HTML pages with 2xx response"
"Contains Pagination","0","0.00%","97","Internal HTML pages with 2xx response"
"First Page","0","0.00%","97","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","97","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","0","0.00%","97","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","97","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","97","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","97","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","97","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","97","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","97","Internal HTML pages with 2xx response"
""
"Directives"
"All","97","100.00%","97","Internal URLs with 2xx response"
"Index","0","0.00%","97","Internal URLs with 2xx response"
"Noindex","0","0.00%","97","Internal URLs with 2xx response"
"Follow","0","0.00%","97","Internal URLs with 2xx response"
"Nofollow","0","0.00%","97","Internal URLs with 2xx response"
"None","0","0.00%","97","Internal URLs with 2xx response"
"NoArchive","0","0.00%","97","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","97","Internal URLs with 2xx response"
"Max-Snippet","0","0.00%","97","Internal URLs with 2xx response"
"Max-Image-Preview","0","0.00%","97","Internal URLs with 2xx response"
"Max-Video-Preview","0","0.00%","97","Internal URLs with 2xx response"
"NoODP","0","0.00%","97","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","97","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","97","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","97","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","97","Internal URLs with 2xx response"
"Refresh","0","0.00%","99","Internal HTML pages with 2xx response"
"Outside <head>","0","0.00%","97","Internal URLs with 2xx response"
""
"Hreflang"
"All","97","100.00%","97","Internal pages with 2xx response"
"Contains hreflang","97","100.00%","97","Internal pages with 2xx response"
"Non-200 hreflang URLs","0","0.00%","97","Internal pages with 2xx response"
"Unlinked hreflang URLs","0","0.00%","97","Internal pages with 2xx response"
"Missing Return Links","0","0.00%","97","Internal pages with 2xx response"
"Inconsistent Language & Region Return Links","0","0.00%","97","Internal pages with 2xx response"
"Non-Canonical Return Links","0","0.00%","97","Internal pages with 2xx response"
"Noindex Return Links","0","0.00%","97","Internal pages with 2xx response"
"Incorrect Language & Region Codes","0","0.00%","97","Internal pages with 2xx response"
"Multiple Entries","0","0.00%","97","Internal pages with 2xx response"
"Missing Self Reference","0","0.00%","97","Internal pages with 2xx response"
"Not Using Canonical","0","0.00%","97","Internal pages with 2xx response"
"Missing X-Default","83","85.57%","97","Internal pages with 2xx response"
"Missing","0","0.00%","97","Internal pages with 2xx response"
"Outside <head>","0","0.00%","97","Internal pages with 2xx response"
""
"JavaScript"
"All","97","100.00%","97","Internal HTML pages with 2xx response"
"Pages with Blocked Resources","0","0.00%","97","Internal HTML pages with 2xx response"
"Contains JavaScript Links","0","0.00%","97","Internal HTML pages with 2xx response"
"Contains JavaScript Content","0","0.00%","97","Internal HTML pages with 2xx response"
"Noindex Only in Original HTML","0","0.00%","97","Internal HTML pages with 2xx response"
"Nofollow Only in Original HTML","0","0.00%","97","Internal HTML pages with 2xx response"
"Canonical Only in Rendered HTML","0","0.00%","97","Internal HTML pages with 2xx response"
"Canonical Mismatch","0","0.00%","97","Internal HTML pages with 2xx response"
"Page Title Only in Rendered HTML","0","0.00%","97","Internal HTML pages with 2xx response"
"Page Title Updated by JavaScript","0","0.00%","97","Internal HTML pages with 2xx response"
"Meta Description Only in Rendered HTML","0","0.00%","97","Internal HTML pages with 2xx response"
"Meta Description Updated by JavaScript","0","0.00%","97","Internal HTML pages with 2xx response"
"H1 Only in Rendered HTML","0","0.00%","97","Internal HTML pages with 2xx response"
"H1 Updated by JavaScript","0","0.00%","97","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme URLs","0","0.00%","97","Internal HTML pages with 2xx response"
"Uses Old AJAX Crawling Scheme Meta Fragment Tag","0","0.00%","97","Internal HTML pages with 2xx response"
"Pages with JavaScript Errors","0","0.00%","97","Internal HTML pages with 2xx response"
"Pages with JavaScript Warnings","0","0.00%","97","Internal HTML pages with 2xx response"
"Pages with Chrome Issues","0","0.00%","97","Internal HTML pages with 2xx response"
""
"Links"
"All","97","100.00%","97","Internal HTML pages with 2xx response"
"Pages With Uncrawlable Internal Outlinks","0","0.00%","97","Internal HTML pages with 2xx response"
"Pages With High Crawl Depth","0","0.00%","97","Internal HTML pages with 2xx response"
"Pages Without Internal Outlinks","0","0.00%","97","Internal HTML pages with 2xx response"
"Internal Nofollow Outlinks","0","0.00%","97","Internal HTML pages with 2xx response"
"Internal Outlinks With No Anchor Text","1","1.03%","97","Internal HTML pages with 2xx response"
"Non-Descriptive Anchor Text In Internal Outlinks","0","0.00%","97","Internal HTML pages with 2xx response"
"Pages With High External Outlinks","97","100.00%","97","Internal HTML pages with 2xx response"
"Pages With High Internal Outlinks","0","0.00%","97","Internal HTML pages with 2xx response"
"Follow & Nofollow Internal Inlinks To Page","0","0.00%","97","Internal HTML pages with 2xx response"
"Internal Nofollow Inlinks Only","0","0.00%","97","Internal HTML pages with 2xx response"
"Outlinks To Localhost","0","0.00%","97","Internal HTML pages with 2xx response"
"Non-Indexable Page Inlinks Only","0","0.00%","97","Internal HTML pages with 2xx response"
""
"AMP"
"All","0","0.00%","0","Internal AMP URLs"
"Non-200 Response","0","0.00%","99","Internal HTML URLs"
"Missing Non-AMP Return Link","0","0.00%","0","Internal AMP URLs"
"Missing Canonical to Non-AMP","0","0.00%","0","Internal AMP URLs"
"Non-Indexable Canonical","0","0.00%","0","Internal AMP URLs"
"Indexable","0","0.00%","0","Internal AMP URLs"
"Non-Indexable","0","0.00%","0","Internal AMP URLs"
"Missing <html amp> Tag","0","0.00%","99","Internal HTML URLs"
"Missing/Invalid <!doctype html> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <head> Tag","0","0.00%","0","Internal AMP URLs"
"Missing <body> Tag","0","0.00%","0","Internal AMP URLs"
"Missing Canonical","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta charset> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid <meta viewport> Tag","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Script","0","0.00%","0","Internal AMP URLs"
"Missing/Invalid AMP Boilerplate","0","0.00%","0","Internal AMP URLs"
"Contains Disallowed HTML","0","0.00%","0","Internal AMP URLs"
"Other Validation Errors","0","0.00%","0","Internal AMP URLs"
""
"Structured Data"
"All","97","100.00%","97","Internal HTML pages with 2xx response"
"Contains Structured Data","0","0.00%","97","Internal HTML pages with 2xx response"
"Missing","0","0.00%","97","Internal HTML pages with 2xx response"
"Validation Errors","0","0.00%","97","Internal HTML pages with 2xx response"
"Validation Warnings","0","0.00%","97","Internal HTML pages with 2xx response"
"Rich Result Validation Errors","0","0.00%","97","Internal HTML pages with 2xx response"
"Rich Result Validation Warnings","0","0.00%","97","Internal HTML pages with 2xx response"
"Parse Errors","0","0.00%","97","Internal HTML pages with 2xx response"
"Microdata URLs","0","0.00%","97","Internal HTML pages with 2xx response"
"JSON-LD URLs","0","0.00%","97","Internal HTML pages with 2xx response"
"RDFa URLs","0","0.00%","97","Internal HTML pages with 2xx response"
"Rich Result Feature Detected","0","0.00%","97","Internal HTML pages with 2xx response"
""
"Sitemaps"
"All","102","100.00%","102","Internal HTML/XML pages"
"URLs in Sitemap","0","0.00%","102","Internal HTML/XML pages"
"URLs not in Sitemap","0","0.00%","102","Internal HTML/XML pages"
"Orphan URLs","0","0.00%","102","Internal HTML/XML pages"
"Non-Indexable URLs in Sitemap","0","0.00%","102","Internal HTML/XML pages"
"URLs in Multiple Sitemaps","0","0.00%","102","Internal HTML/XML pages"
"XML Sitemap with over 50k URLs","0","0.00%","102","Internal HTML/XML pages"
"XML Sitemap over 50MB","0","0.00%","102","Internal HTML/XML pages"
""
"PageSpeed"
"All","97","100.00%","97","Internal HTML URLs with 2xx response"
"Document Request Latency","0","0.00%","97","Internal HTML URLs with 2xx response"
"LCP Request Discovery","0","0.00%","97","Internal HTML URLs with 2xx response"
"Render Blocking Requests","0","0.00%","97","Internal HTML URLs with 2xx response"
"Network Dependency Tree","0","0.00%","97","Internal HTML URLs with 2xx response"
"Use Efficient Cache Lifetimes","0","0.00%","97","Internal HTML URLs with 2xx response"
"Layout Shift Culprits","0","0.00%","97","Internal HTML URLs with 2xx response"
"Optimize DOM Size","0","0.00%","97","Internal HTML URLs with 2xx response"
"Improve Image Delivery","0","0.00%","97","Internal HTML URLs with 2xx response"
"Forced Reflow","0","0.00%","97","Internal HTML URLs with 2xx response"
"Legacy JavaScript","0","0.00%","97","Internal HTML URLs with 2xx response"
"Duplicated JavaScript","0","0.00%","97","Internal HTML URLs with 2xx response"
"Font Display","0","0.00%","97","Internal HTML URLs with 2xx response"
"Avoid Enormous Network Payloads","0","0.00%","97","Internal HTML URLs with 2xx response"
"Minify CSS","0","0.00%","97","Internal HTML URLs with 2xx response"
"Minify JavaScript","0","0.00%","97","Internal HTML URLs with 2xx response"
"Reduce Unused CSS","0","0.00%","97","Internal HTML URLs with 2xx response"
"Reduce Unused JavaScript","0","0.00%","97","Internal HTML URLs with 2xx response"
"Reduce JavaScript Execution Time","0","0.00%","97","Internal HTML URLs with 2xx response"
"Minimize Main-Thread Work","0","0.00%","97","Internal HTML URLs with 2xx response"
"Request Errors","0","0.00%","97","Internal HTML URLs with 2xx response"
""
"Mobile"
"All","97","100.00%","97",""
"Viewport Not Set","0","0.00%","97",""
"Target Size","0","0.00%","97",""
"Content Not Sized Correctly","0","0.00%","97",""
"Illegible Font Size","0","0.00%","97",""
