"Site Crawled","https://shopline.tw/"
"Start Date","2026-09-06"
"Start Time","20:21:35"
"Last Modified Date","2026-09-06"
"Last Modified Time","20:24:42"
"Elapsed","00:03:07"
"Report Date","2026-09-07"
"Report Time","11:56:13"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Bounce Rate Above 70%","0","0.00%","102","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","102","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","102","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","102","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","102","100.00%","102","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","102","Internal URLs with associated Google Search Console data"
"No Search Analytics Data","0","0.00%","102","Internal URLs with associated Google Search Console data"
"Non-Indexable with Search Analytics Data","0","0.00%","102","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","102","Internal URLs with associated Google Search Console data"
"URL is Not on Google","0","0.00%","102","Internal URLs with associated Google Search Console data"
"Indexable URL Not Indexed","0","0.00%","102","Internal URLs with associated Google Search Console data"
"URL is on Google But Has Issues","0","0.00%","102","Internal URLs with associated Google Search Console data"
"User-Declared Canonical Not Selected","0","0.00%","102","Internal URLs with associated Google Search Console data"
"Page is Not Mobile Friendly","0","0.00%","102","Internal URLs with associated Google Search Console data"
"AMP URL Invalid","0","0.00%","102","Internal URLs with associated Google Search Console data"
"Rich Result Invalid","0","0.00%","102","Internal URLs with associated Google Search Console data"
""
"Validation"
"All","102","100.00%","102","Internal URLs with 2xx response"
"Invalid HTML Elements in <head>","0","0.00%","102","Internal URLs with 2xx response"
"<body> Element Preceding <html>","0","0.00%","102","Internal URLs with 2xx response"
"<head> Not First In <html> Element","0","0.00%","102","Internal URLs with 2xx response"
"Missing <head> Tag","0","0.00%","102","Internal URLs with 2xx response"
"Multiple <head> Tags","0","0.00%","102","Internal URLs with 2xx response"
"Missing <body> Tag","0","0.00%","102","Internal URLs with 2xx response"
"Multiple <body> Tags","0","0.00%","102","Internal URLs with 2xx response"
"HTML Document Over 2MB","0","0.00%","102","Internal URLs with 2xx response"
"Resource Over 2MB","0","0.00%","102","Internal URLs with 2xx response"
"High Carbon Rating","0","0.00%","102","Internal URLs with 2xx response"
""
"Link Metrics"
"All","102","100.00%","102","Internal HTML/PDF pages"
""
"AI"
"All","97","100.00%","97","Internal HTML URLs with 2xx response"
""
""
"Depth (Clicks from Start URL)"
"0","1","1.03%","97","Internal HTML pages with 2xx response"
"1","37","38.14%","97","Internal HTML pages with 2xx response"
"2","59","60.82%","97","Internal HTML pages with 2xx response"
"3","0","0.00%","97","Internal HTML pages with 2xx response"
"4","0","0.00%","97","Internal HTML pages with 2xx response"
"5","0","0.00%","97","Internal HTML pages with 2xx response"
"6","0","0.00%","97","Internal HTML pages with 2xx response"
"7","0","0.00%","97","Internal HTML pages with 2xx response"
"8","0","0.00%","97","Internal HTML pages with 2xx response"
"9","0","0.00%","97","Internal HTML pages with 2xx response"
"10+","0","0.00%","97","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://shopline.tw/shoplytics","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/solutions/shop-efficiency","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/group-buying","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/line-solution","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/pos/hardware","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/payments","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/smart-omo","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/online-store","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/solutions/member-repurchase","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/compliance-center","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/solutions/omo","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/corp-social-responsibility","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/templates","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/faq/overview","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/solutions","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/about/pricing","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/solutions/traffic-and-conversion","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/selectedpartners","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/social-commerce/instagram-live","97","100.00%","97","Internal HTML pages with 2xx response"
"https://shopline.tw/shopper-app","97","100.00%","97","Internal HTML pages with 2xx response"
""
"Response Time (Seconds)","URLs","% of Total"
"1","91","91.92%"
"2","6","6.06%"
"3","1","1.01%"
"4","1","1.01%"
